Contry,Variable,Indicador,Valor
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,21.89
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,0
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,13.44
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,0
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,7.76
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,120.83
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,0
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,0
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,0
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,41.51
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,0
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,44.89
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,5.6
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,628.66
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,14.35
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,167.87
Aruba,Export,Trade (US$ Mil)-Top 5 Export Partner,0
Aruba,Import,Trade (US$ Mil)-Top 5 Import Partner,0
Aruba,Export,Export(US$ Mil),0.26
Aruba,Export,Export(US$ Mil),4.45
Aruba,Export,Export(US$ Mil),5.73
Aruba,Export,Export(US$ Mil),65.26
Aruba,Export,Export(US$ Mil),46.71
Aruba,Export,Export(US$ Mil),0.13
Aruba,Export,Export(US$ Mil),0.16
Aruba,Export,Export(US$ Mil),0.42
Aruba,Export,Export(US$ Mil),2.81
Aruba,Export,Export(US$ Mil),2.77
Aruba,Export,Export(US$ Mil),4.72
Aruba,Export,Export(US$ Mil),0.01
Aruba,Export,Export(US$ Mil),5.51
Aruba,Export,Export(US$ Mil),0.53
Aruba,Export,Export(US$ Mil),3.58
Aruba,Export,Export(US$ Mil),6.24
Aruba,Export,Export(US$ Mil),1.6
Aruba,Export,Export(US$ Mil),4.17
Aruba,Export,Export(US$ Mil),0.19
Aruba,Export,Export(US$ Mil),0.74
Aruba,Export,Exports (in US$ Mil),79.88
Aruba,Import,Import(US$ Mil),165.96
Aruba,Import,Import(US$ Mil),755.77
Aruba,Import,Import(US$ Mil),101.72
Aruba,Import,Import(US$ Mil),114.33
